行号,笔记标题,主页链接,原笔记地址,失败原因
66,2K价位的微蒸烤一体机，这次终于没踩坑！,https://www.xiaohongshu.com/user/profile/695381b6000000003702c1bd,https://www.xiaohongshu.com/explore/69cb8d64000000002202b836?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
67,水塔糕漂亮又好吃，在家做起来,https://www.xiaohongshu.com/user/profile/5e4db6710000000001000c8d,https://www.xiaohongshu.com/explore/69ce8772000000002301390f?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
68,30➕职场人日子热气腾腾✨是开放厨房给的底气,https://www.xiaohongshu.com/user/profile/557430f49eb57838126f41ea,https://www.xiaohongshu.com/explore/69cf6afa0000000023005f43?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
69,博世蒸烤一体机实测！真的太香了！,https://www.xiaohongshu.com/user/profile/5ea3efd4000000000100a13e,https://www.xiaohongshu.com/explore/69cd052b0000000021010cba?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
70,「晒晒春天第一口鲜」惊喜盒子掉落啦！,https://www.xiaohongshu.com/user/profile/5b7e7953ebe5680001b9963a,https://www.xiaohongshu.com/explore/69cf8fcb000000001b000eb9?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
71,双重巧克力乳酪软欧🔥软乎乎❗超好吃❗,https://www.xiaohongshu.com/user/profile/5d51755b0000000011008d07,https://www.xiaohongshu.com/explore/69cf8930000000002103a4db?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
72,4㎡变10㎡🔥榨干每寸空间的智能秘籍,https://www.xiaohongshu.com/user/profile/65f80cd7000000000600ceb2,https://www.xiaohongshu.com/explore/69ca1351000000002301d08e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
73,救命！西门子蒸烤箱终于分清楚了😭,https://www.xiaohongshu.com/user/profile/5f114743000000000100550b,https://www.xiaohongshu.com/explore/69cf395b000000001a0218c4?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
74,三款微蒸烤真实测评，别再盲目跟风啦～,https://www.xiaohongshu.com/user/profile/5bf78fabcfff9500010ffb2c,https://www.xiaohongshu.com/explore/69cf2f9e000000001f007199?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
75,我真的好会设计厨房！太适合做饭啦,https://www.xiaohongshu.com/user/profile/5dc8042f000000000100941d,https://www.xiaohongshu.com/explore/69cc8703000000002301ec49?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
76,🏠普通人的家，简简单单8w尽力了！,https://www.xiaohongshu.com/user/profile/592ca92a82ec39123d3a3824,https://www.xiaohongshu.com/explore/69cf82600000000022000c2f?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
77,春天宜喝汤｜6道靓汤喝出好气色✨,https://www.xiaohongshu.com/user/profile/5a0186544eacab280c15b497,https://www.xiaohongshu.com/explore/69cb7bb2000000001a02f995?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
78,🎁新品知味感R6S二代上线，联动搭子送福利！,https://www.xiaohongshu.com/user/profile/5c260bb300000000050351cd,https://www.xiaohongshu.com/explore/69cf979d000000002200eaec?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
79,一靠近这儿就想做饭🍳附餐边柜详细尺寸图,https://www.xiaohongshu.com/user/profile/6148749d000000000201b748,https://www.xiaohongshu.com/explore/69cb9e9a000000002301fd51?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
80,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/60177ec00000000001004427,https://www.xiaohongshu.com/explore/69cfdb9a0000000023011bf3?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
81,89平Roomtour｜迟到的乔迁宴，是被惦记的幸运,https://www.xiaohongshu.com/user/profile/595f05236a6a695e1319656b,https://www.xiaohongshu.com/explore/69ccf2c5000000002302273f?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
82,18w尽力了！普通人的家，真的很好宅～,https://www.xiaohongshu.com/user/profile/5cecd5c0000000001000387a,https://www.xiaohongshu.com/explore/69cdd7d4000000001f006894?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
83,这才是年轻人想要的家,https://www.xiaohongshu.com/user/profile/5c87404b000000001103fddd,https://www.xiaohongshu.com/explore/69cc9dbf00000000230257a7?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
84,80后夫妻的别墅生活 它竟然比老公还浪漫,https://www.xiaohongshu.com/user/profile/643818d4000000000d01a8b9,https://www.xiaohongshu.com/explore/69cfa78f000000002102d98e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
